CalendarDate,HolidayNameHebrew
2015-09-13,ערב ראש השנה
2015-09-14,ראש השנה
2015-09-15,ראש השנה
2015-09-16,צום גדליה
2015-09-22,ערב יום כיפור
2015-09-23,יום כיפור
2015-09-24,עיד אלאדחא (חג הקורבן)
2015-09-25,עיד אלאדחא (חג הקורבן)
2015-09-26,עיד אלאדחא (חג הקורבן)
2015-09-27,ערב סוכות
2015-09-28,סוכות
2015-09-29,חול המועד סוכות
2015-09-30,חול המועד סוכות
2015-10-01,חול המועד סוכות
2015-10-02,חול המועד סוכות
2015-10-03,חול המועד סוכות
2015-10-04,חול המועד סוכות
2015-10-05,שמיני עצרת (שמחת תורה)
2015-10-06,איסרו חג סוכות
2015-11-11,חג הסיגד של יהודי ביתא ישראל (אתיופיה)
2015-12-06,ערב חנוכה
2015-12-07,חנוכה
2015-12-08,חנוכה
2015-12-09,חנוכה
2015-12-10,חנוכה
2015-12-11,חנוכה
2015-12-12,חנוכה
2015-12-13,חנוכה
2015-12-14,חנוכה
2015-12-22,צום י בטבת
2015-12-23,הולדת הנביא מוחמד
2015-12-24,ערב חג המולד
2015-12-25,חג המולד
2015-12-26,חג המולד
2015-12-31,ערב ראשית השנה האזרחית
2016-01-01,ראש השנה האזרחית
2016-01-05,ערב חג ההתגלות
2016-01-06,חג ההתגלות
2016-01-24,ערב נבי אלח'אדר (חג הנביא אליהו)
2016-01-25,טו בשבט
2016-03-23,תענית אסתר
2016-03-24,פורים
2016-03-25,שושן פורים
2016-03-26,ערב פסחא
2016-03-27,פסחא
2016-03-28,פסחא
2016-04-22,ערב פסח
2016-04-23,פסח
2016-04-24,חול המועד פסח
2016-04-25,חול המועד פסח
2016-04-26,חול המועד פסח
2016-04-27,חול המועד פסח
2016-04-28,חול המועד פסח
2016-04-29,חג שביעי של פסח
2016-04-30,איסרו חג פסח (מימונה)
2016-05-04,לילת אלסאראא ולמעראג (עלית הנביא השמיימה)
2016-05-05,יום הזכרון לשואה ולגבורה
2016-05-11,יום הזכרון
2016-05-12,יום העצמאות
2016-05-25,ערב לג בעומר
2016-05-26,לג בעומר
2016-06-05,יום ירושלים
2016-06-06,רמדאן
2016-06-07,רמדאן
2016-06-08,רמדאן
2016-06-09,רמדאן
2016-06-10,רמדאן
2016-06-11,ערב שבועות
2016-06-12,שבועות
2016-06-13,איסרו חג שבועות
2016-06-14,רמדאן
2016-06-15,רמדאן
2016-06-16,רמדאן
2016-06-17,רמדאן
2016-06-18,רמדאן
2016-06-19,רמדאן
2016-06-20,רמדאן
2016-06-21,רמדאן
2016-06-22,רמדאן
2016-06-23,רמדאן
2016-06-24,רמדאן
2016-06-25,רמדאן
2016-06-26,רמדאן
2016-06-27,רמדאן
2016-06-28,רמדאן
2016-06-29,רמדאן
2016-06-30,רמדאן
2016-07-01,רמדאן
2016-07-02,רמדאן
2016-07-03,רמדאן
2016-07-04,רמדאן
2016-07-05,ערב איד אל פיטר
2016-07-06,עיד אל פיטר
2016-07-07,עיד אל פיטר
2016-07-08,עיד אל פיטר
2016-07-24,יז תמוז
2016-08-13,ערב ט באב
2016-08-14,ט אב
2016-08-19,טו באב
2016-08-25,חג הנביא אל יעפורי
2016-09-09,ערב חג נבי סבלאן
2016-09-10,ערב עיד אלאדחא (חג הקורבן)
2016-09-11,עיד אלאדחא (חג הקורבן)
2016-09-12,עיד אלאדחא (חג הקורבן)
2016-09-13,עיד אלאדחא (חג הקורבן)
2016-09-14,עיד אלאדחא (חג הקורבן)
2016-10-11,ערב יום כיפור
2016-10-12,יום כיפור
2016-10-16,ערב סוכות
2016-10-17,סוכות
2016-10-18,חול המועד סוכות
2016-10-19,חול המועד סוכות
2016-10-20,חול המועד סוכות
2016-10-21,חול המועד סוכות
2016-10-22,חול המועד סוכות
2016-10-23,חול המועד סוכות
2016-10-24,שמיני עצרת (שמחת תורה)
2016-10-25,איסרו חג סוכות
2016-11-30,חג הסיגד של יהודי ביתא ישראל (אתיופיה)
2016-12-11,הולדת הנביא מוחמד
2016-12-24,ערב חנוכה
2016-12-25,חנוכה
2016-12-26,חנוכה
2016-12-27,חנוכה
2016-12-28,חנוכה
2016-12-29,חנוכה
2016-12-30,חנוכה
2016-12-31,חנוכה
2017-01-01,חנוכה
2017-01-05,ערב חג ההתגלות
2017-01-06,חג ההתגלות
2017-01-08,צום י בטבת
2017-01-24,ערב נבי אלח'אדר (חג הנביא אליהו)
2017-01-25,נבי אלח'אדר (חג הנביא אליהו)
2017-02-11,טו בשבט
2017-03-09,תענית אסתר
2017-03-12,פורים
2017-03-13,שושן פורים
2017-03-25,יום הבשורה
2017-04-10,ערב פסח
2017-04-11,פסח
2017-04-12,חול המועד פסח
2017-04-13,חול המועד פסח
2017-04-14,חול המועד פסח
2017-04-15,חול המועד פסח
2017-04-16,חול המועד פסח
2017-04-17,חג שביעי של פסח
2017-04-18,איסרו חג פסח (מימונה)
2017-04-24,יום הזכרון לשואה ולגבורה
2017-04-26,חג הנביא שועייב
2017-04-27,חג הנביא שועייב
2017-04-28,חג הנביא שועייב
2017-05-01,יום הזכרון
2017-05-02,יום העצמאות
2017-05-13,ערב לג בעומר
2017-05-14,לג בעומר
2017-05-24,יום ירושלים
2017-05-25,העלייה השמיימה
2017-05-27,רמדאן
2017-05-28,רמדאן
2017-05-29,רמדאן
2017-05-30,ערב שבועות
2017-05-31,שבועות
2017-06-01,איסרו חג שבועות
2017-06-02,רמדאן
2017-06-03,רמדאן
2017-06-04,רמדאן
2017-06-05,רמדאן
2017-06-06,רמדאן
2017-06-07,רמדאן
2017-06-08,רמדאן
2017-06-09,רמדאן
2017-06-10,רמדאן
2017-06-11,רמדאן
2017-06-12,רמדאן
2017-06-13,רמדאן
2017-06-14,רמדאן
2017-06-15,רמדאן
2017-06-16,רמדאן
2017-06-17,רמדאן
2017-06-18,רמדאן
2017-06-19,רמדאן
2017-06-20,רמדאן
2017-06-21,רמדאן
2017-06-22,רמדאן
2017-06-23,רמדאן
2017-06-24,רמדאן
2017-06-25,ערב איד אל פיטר
2017-06-26,עיד אל פיטר
2017-06-27,עיד אל פיטר
2017-06-28,עיד אל פיטר
2017-07-06,צעדת הנביא אבו אברהים
2017-07-11,יז תמוז
2017-07-31,ערב ט באב
2017-08-01,ט אב
2017-08-07,טו באב
2017-08-25,חג הנביא אל יעפורי
2017-08-31,ערב עיד אלאדחא (חג הקורבן)
2017-09-01,עיד אלאדחא (חג הקורבן)
2017-09-02,עיד אלאדחא (חג הקורבן)
2017-09-03,עיד אלאדחא (חג הקורבן)
2017-09-04,עיד אלאדחא (חג הקורבן)
2017-09-09,ערב חג נבי סבלאן
2017-09-10,חג נבי סבלאן
2017-09-20,ערב ראש השנה
2017-09-21,ראש השנה
2017-09-22,ראש השנה
2017-09-24,צום גדליה
2017-09-29,ערב יום כיפור
2017-09-30,יום כיפור
2017-10-04,ערב סוכות
2017-10-05,סוכות
2017-10-06,חול המועד סוכות
2017-10-07,חול המועד סוכות
2017-10-08,חול המועד סוכות
2017-10-09,חול המועד סוכות
2017-10-10,חול המועד סוכות
2017-10-11,חול המועד סוכות
2017-10-12,שמיני עצרת (שמחת תורה)
2017-10-13,איסרו חג סוכות
2017-11-16,חג הסיגד של יהודי ביתא ישראל (אתיופיה)
